question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
13,Data SE,Fabric end-to-end analytics,Warehouse vs Lakehouse,ms_theory,300,"A team needs full T-SQL DML (INSERT/UPDATE/DELETE), multi-table transactions and a distributed engine that scales compute across nodes. Which Fabric item is the best fit?",A Power BI semantic model,KQL Database,Fabric Warehouse,"Fabric Lakehouse (Spark-first, read-only SQL endpoint)"
14,Data SE,Fabric end-to-end analytics,Direct Lake,ms_theory,300,What is the key benefit of Direct Lake mode for a Power BI semantic model in Fabric?,It caches the full dataset in memory via a scheduled import refresh,It requires an on-premises data gateway,"It queries Delta tables in OneLake directly, avoiding both data import and DirectQuery translation to a source",It converts DAX to native Oracle SQL
15,Data SE,Fabric end-to-end analytics,Load performance tuning,ms_app,300,"In the East Sussex Fabric PoC, loading tables of 100M+ rows was slow. Which is the recommended Fabric bulk-load performance practice?",Insert row-by-row inside a single transaction,"Create all indexes first, then load the data","Load into a staging/heap table first, then apply indexes after loading and validate row counts",Enable maximum indexing on every column before load
16,Data SE,Fabric end-to-end analytics,ETL migration,ms_app,300,Sirona wanted to migrate legacy SSIS ETL packages to Fabric. What is the correct expectation to set with the customer?,SSIS must first be migrated to Cosmos DB,SSIS does not run natively in Fabric; the logic is re-implemented using Data pipelines and/or notebooks,Fabric automatically converts every SSIS package with no review,SSIS packages run natively and unchanged inside Fabric
17,Data SE,Non-functional requirements,HA/DR concepts,neutral_theory,200,"In disaster-recovery planning, which term defines the maximum acceptable amount of DATA LOSS, measured as a point in time?",RPO (Recovery Point Objective),MTTR (Mean Time To Repair),SLA (Service Level Agreement),RTO (Recovery Time Objective)
18,Data SE,Non-functional requirements,Azure SQL HA/DR,ms_theory,300,What is the primary purpose of an auto-failover group in Azure SQL Database / Managed Instance?,To compress backups to reduce storage cost,To automatically tune indexes,To automatically fail a group of databases over to a secondary region and redirect connections via a read-write listener,To shard a database across multiple tenants
19,Data SE,Non-functional requirements,Fabric capacity & cost,ms_theory,300,"In Fabric, when interactive demand temporarily exceeds a capacity, usage is smoothed and eventually throttled. Which tool should an SE use to monitor Capacity Unit (CU) consumption before sizing?",Power BI Desktop Performance Analyzer,SQL Server Profiler,The Fabric Capacity Metrics app,Azure Advisor
20,Data SE,Non-functional requirements,Mission-critical resilience,neutral_app,300,A mission-critical database must tolerate the loss of an entire region with near-zero downtime and minimal data loss. Which pattern best meets this?,Nightly backups restored manually on demand,Active geo-replication / a standby replica in a paired region with automated failover,A single zonal deployment with local redundancy only,Read replicas in the same availability zone
21,Data SE,Non-functional requirements,SQL MI DR architecture,ms_app,300,Nationstar Mortgage needed both intra-region resilience and cross-region DR for mission-critical SQL Managed Instance servicing databases. Which combination fits?,A single-zone Managed Instance with no secondary,Zone-redundant Managed Instance combined with an auto-failover group to a paired region,"Backups only, with no secondary region",A read replica in the same zone as the primary
22,Data SE,Non-functional requirements,Fabric capacity & licensing,ms_app,300,NHS Devon needed to move from Power BI Premium P1 before a licensing deadline. How should this migration primarily be framed?,As a Cosmos DB migration,As a mandatory move of all data into OneLake immediately,As a full data-lake rebuild that must complete before go-live,"As a capacity/licensing transition (P-SKU to F-SKU, e.g. F64) with workspaces reassigned to Fabric capacity"
23,Data SE,AI grounding on data,RAG fundamentals,neutral_theory,200,What is the core idea of Retrieval-Augmented Generation (RAG)?,Caching previous answers and replaying them,Retrieving relevant context from a knowledge source at query time and injecting it into the prompt to ground the model's response,Fine-tuning the base model on all enterprise data every night,Replacing the LLM with a rules engine
24,Data SE,AI grounding on data,Vectors & similarity search,neutral_theory,300,"In an AI-grounding solution, what is the role of a vector embedding and vector (similarity) search?",Embeddings compress images only; search is keyword-based,"Embeddings numerically represent semantic meaning, and nearest-neighbour search finds the most semantically similar items",Embeddings are primary keys; search is an index seek,Embeddings encrypt the data; search decrypts it
25,Data SE,AI grounding on data,Native vector stores,ms_theory,300,Which of the following Azure operational databases provide native vector storage and search capabilities for AI grounding?,Only Azure AI Search,Only Azure Cosmos DB,"Azure SQL, Azure Database for PostgreSQL (pgvector) and Azure Cosmos DB all support vectors",None; a separate vector database is always required
26,Data SE,AI grounding on data,Graph RAG,ms_app,300,Johnson & Johnson needed to ground AI across structured and unstructured enterprise knowledge with rich relationships. Which approach did they use?,Fine-tuning a model and deleting the source data,Exporting everything to CSV for the model to read,A single relational table with keyword search,Azure Cosmos DB as a knowledge graph combined with vector embeddings and vector search (graph RAG) and Azure OpenAI
27,Data SE,AI grounding on data,Operational data to analytics/AI,ms_app,400,iLending wanted business users to ask natural-language questions over deeply nested data across multiple Cosmos DB containers. Which Fabric approach fits?,Query Cosmos DB directly from Power BI with no modelling,Load nightly CSV extracts into a spreadsheet,"Mirror the Cosmos DB containers into Fabric, flatten JSON into a Bronze-Silver-Gold medallion model, then expose a Fabric Data Agent for NL analytics",Rebuild the entire application on SQL Server
28,Data SE,"Data engineering, warehousing & governance",Dimensional modelling,neutral_theory,200,"In a classic star schema for analytics, how are the tables organised?",One central fact table (measures) surrounded by dimension tables (descriptive attributes),A single wide table containing all columns,Fully normalised into third normal form with no redundancy,Only key-value pairs
29,Data SE,"Data engineering, warehousing & governance",Medallion architecture,neutral_theory,300,"In a medallion (Bronze/Silver/Gold) lakehouse architecture, what do the layers represent?","Bronze = raw ingested data, Silver = cleansed/conformed data, Gold = curated business-ready data","Bronze = smallest tables, Gold = largest tables","Bronze = backups, Silver = archives, Gold = logs","Bronze = production, Silver = test, Gold = development"
30,Data SE,"Data engineering, warehousing & governance",Governance,ms_theory,300,What is the primary purpose of Microsoft Purview in a modern data estate?,To run Spark notebooks,To size Fabric capacities,To host Power BI reports,"To provide unified data governance: cataloguing, classification, lineage and discovery across the estate"
31,Data SE,"Data engineering, warehousing & governance",Interoperability,ms_app,300,Bupa needed Fabric to interoperate with Snowflake and Iceberg tables without physically copying data where possible. Which Fabric capabilities enable this?,Manually downloading and re-uploading files,Only nightly ETL exports,Converting all data to Cosmos DB first,OneLake shortcuts and mirroring to reference/replicate external data without full copies
32,Data SE,Communication,Executive communication,neutral_app,300,"As a Solution Engineer, how should you best explain a proposed data platform to a non-technical executive audience?","Translate the solution into business outcomes and analogies, focusing on value, risk and cost rather than implementation detail",Present detailed T-SQL and configuration screens to prove technical depth,Send the full architecture diagram with no narrative,Avoid the meeting and send documentation instead
