question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
14,Infra SE,Networking,Hub-spoke,ms_app,300,Why do Azure landing zones commonly use a hub-and-spoke network topology?,Because spokes cannot exist without exactly 100 VMs,To force all traffic onto the public internet,"To centralise shared services (firewall, gateways, DNS) in a hub while isolating workloads in spokes",To avoid using virtual networks at all
15,Infra SE,Networking,Perimeter security,ms_theory,300,"Which Azure service provides a managed, stateful network firewall with centralised policy for a VNet/hub?",Azure Advisor,Azure Monitor,Azure Firewall,Azure Backup
16,Infra SE,Identity,Identity fundamentals,neutral_theory,200,What is the difference between authentication and authorization?,Both only apply to networking,Authentication proves who you are; authorization determines what you can access,Authentication assigns permissions; authorization verifies identity,They are identical terms
17,Infra SE,Identity,Hybrid identity,ms_theory,300,A customer running on-premises Active Directory wants users to sign in to Azure/M365 with the same identity. Which approach enables this hybrid identity?,Synchronise on-prem AD to Microsoft Entra ID (e.g. Entra Connect),Use a spreadsheet of passwords,Recreate every user manually in the cloud with different passwords,Disable identity entirely
18,Infra SE,Hybrid & Azure Arc,Arc concept,ms_theory,300,What does Azure Arc enable?,A replacement for Power BI,Faster gaming graphics,A new relational database engine,"Extending Azure management, governance and policy to servers/Kubernetes/data services running outside Azure (on-prem or other clouds)"
19,Infra SE,Hybrid & Azure Arc,Arc for estate visibility,ms_app,300,"In the NHS SQL end-of-support and North Cheshire engagements, how was Azure Arc used?",To replace the network cabling,To build a mobile game,To inventory and govern the existing on-prem server/SQL estate before migration,To immediately delete all servers
20,Infra SE,VMware & datacentre exit,AVS concept,ms_theory,300,What is Azure VMware Solution (AVS)?,A DNS forwarding service,A service to run native VMware vSphere environments on dedicated Azure infrastructure,A Power BI connector,A container registry
21,Infra SE,VMware & datacentre exit,AVS migration,ms_app,300,"In the CQC engagement, why was an Azure VMware Solution pilot proposed to migrate a Siebel CRM platform off ageing hardware?",To delete the CRM entirely,"To move VMware-hosted workloads to Azure with minimal re-platforming risk, as a landing foundation",To rewrite Siebel from scratch first,To avoid using Azure at all
22,Infra SE,Security & resilience,Defender for Cloud,ms_theory,300,What is the primary purpose of Microsoft Defender for Cloud?,To provide a data warehouse,To host web applications,Cloud security posture management and workload protection - assessing/hardening security across resources,To manage DNS records
23,Infra SE,Security & resilience,DR concept,neutral_theory,300,"In disaster recovery, what does the Recovery Time Objective (RTO) define?",The colour of the status dashboard,The number of VMs in a subscription,The price of a support plan,The maximum acceptable downtime before service must be restored
24,Infra SE,Communication,Executive communication,neutral_app,300,How should an Infra SE best present a datacentre-exit migration plan to a non-technical executive board?,Show raw ARM templates and routing tables in detail,Send only the networking diagrams with no narrative,Focus purely on VM SKU numbers,"Frame it around business outcomes - risk reduction, cost, resilience, timeline - with a clear phased roadmap"
