question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
11,Apps SE,Cloud-native app architecture,API design,ms_app,300,A customer is designing a public REST API for a new service. Which is a sound REST design practice to recommend?,Encode all state in a single global variable,Avoid authentication to simplify access,"Use noun-based resource URLs, correct HTTP status codes, and versioning",Use verbs in resource URLs and return 200 for every response including errors
12,Apps SE,Containers & Kubernetes,Containers,neutral_theory,200,What does a container package to ensure an application runs consistently across environments?,Only configuration files,A full virtual machine including its own OS kernel,"The application plus its dependencies and runtime, isolated from the host","Only the source code, nothing else"
13,Apps SE,Containers & Kubernetes,AKS vs ACA,ms_theory,300,"A team wants to run containerised microservices without managing Kubernetes control planes, nodes or upgrades. Which Azure service best fits?",Azure Virtual Machines,Azure Container Apps (ACA) - serverless containers,Azure ExpressRoute,Azure Kubernetes Service (AKS) with self-managed node pools
14,Apps SE,Containers & Kubernetes,When AKS,ms_theory,300,When is Azure Kubernetes Service (AKS) the more appropriate choice over Azure Container Apps?,"When the customer needs fine-grained control over Kubernetes, custom networking/operators, or is standardising on K8s",When the customer never wants to see or touch Kubernetes,When the workload is a single static HTML page,When no containers are involved at all
15,Apps SE,Containers & Kubernetes,App modernisation path,ms_app,400,"In the GitHub Copilot app-modernisation workshops, a legacy .NET Framework app must move to Azure. What is the recommended modernisation sequence?",Move the database only and leave the app on-premises forever,Assess -> refactor/upgrade to modern .NET -> containerise -> deploy (App Service/ACA/AKS),"Containerise first, then never touch the code",Delete the app and rewrite from scratch with no assessment
16,Apps SE,App hosting & PaaS,App Service,ms_theory,200,What is Azure App Service?,A raw IaaS virtual machine offering,A physical networking appliance,A fully managed PaaS for hosting web apps and APIs without managing the underlying servers,A data warehouse engine
17,Apps SE,App hosting & PaaS,Hosting choice,neutral_app,300,A customer has a simple stateless web API with modest scaling needs and wants minimal operational overhead. Which hosting option is the most appropriate starting point?,A managed PaaS web app (e.g. App Service) or serverless container,A fleet of hand-configured VMs,A self-managed Kubernetes cluster,An on-premises bare-metal server
18,Apps SE,DevOps & developer platform,CI/CD,neutral_theory,200,What is the primary purpose of a CI/CD pipeline?,To prevent developers from committing code,To manually copy files to production once a year,To replace source control entirely,"To automate building, testing and deploying code changes reliably and repeatably"
19,Apps SE,DevOps & developer platform,GitHub Copilot,ms_theory,200,What is GitHub Copilot?,A network load balancer,A relational database,An AI pair-programmer that suggests code and assists development inside the IDE,A container registry
20,Apps SE,DevOps & developer platform,DevSecOps,ms_app,300,A customer wants security scanning built into their developer workflow rather than bolted on at the end. Which approach/tooling fits?,Run all security checks manually after go-live only,Disable security scanning to speed up releases,Store secrets directly in source code,Shift-left with GitHub Advanced Security / pipeline scanning integrated into CI/CD (DevSecOps)
21,Apps SE,AI security & governance,Responsible AI,neutral_theory,300,What does 'responsible AI' primarily address in an AI application?,Choosing a database index strategy,"Fairness, reliability, safety, privacy, transparency and accountability of AI systems",Maximising GPU utilisation only,Reducing the size of container images
22,Apps SE,AI security & governance,Identity for apps,ms_theory,300,"What is the recommended way for an Azure-hosted app to authenticate to Azure services (e.g. Azure OpenAI, Key Vault) without storing secrets?",Email the password to each developer,Use Microsoft Entra managed identities,Hard-code an API key in the source,Disable authentication entirely
23,Apps SE,Communication,Audience translation,neutral_app,300,How should an Apps SE best convey the value of an agentic AI solution to a line-of-business executive?,Focus exclusively on GPU model internals,Send only the API reference documentation,Walk through the raw prompt-orchestration code line by line,"Frame it around business outcomes - time saved, deflection, revenue, risk - with a short demo"
